0506213032,Malbog,Bgy
0506213033,Marifosque ,Bgy
0506213034,Mercedes,Bgy
0506213035,Migabod,Bgy
0506213036,Naspi,Bgy
0506213037,Palanas,Bgy
0506213038,Pangpang,Bgy
0506213039,Pinagsalog,Bgy
0506213040,Pineda,Bgy
0506213042,Poctol,Bgy
0506213043,Pudo,Bgy
0506213044,Putiao,Bgy
0506213045,Sacnangan,Bgy
0506213046,Salvacion,Bgy
0506213047,San Antonio (Millabas),Bgy
0506213048,San Antonio (Sapa),Bgy
0506213049,San Jose,Bgy
0506213050,San Rafael,Bgy
0506213051,Santa Fe,Bgy
0506214000,Prieto Diaz,Mun
0506214001,Brillante ,Bgy
0506214002,Bulawan,Bgy
0506214003,Calao,Bgy
0506214004,Carayat,Bgy
0506214005,Diamante,Bgy
0506214006,Gogon,Bgy
0506214007,Lupi,Bgy
0506214008,Manlabong,Bgy
0506214010,Maningcay De Oro,Bgy
0506214011,Perlas,Bgy
0506214012,Quidolog,Bgy
0506214013,Rizal,Bgy
0506214014,San Antonio,Bgy
0506214015,San Fernando,Bgy
0506214016,San Isidro,Bgy
0506214017,San Juan,Bgy
0506214018,San Rafael,Bgy
0506214019,San Ramon,Bgy
0506214020,Santa Lourdes,Bgy
0506214021,Santo Domingo,Bgy
0506214022,Talisayan,Bgy
0506214023,Tupaz,Bgy
0506214024,Ulag,Bgy
0506215000,Santa Magdalena,Mun
0506215001,La Esperanza,Bgy
0506215002,Peñafrancia,Bgy
0506215003,Barangay Poblacion I,Bgy
0506215004,Barangay Poblacion II,Bgy
0506215005,Barangay Poblacion III,Bgy
0506215006,Barangay Poblacion IV,Bgy
0506215007,Salvacion,Bgy
0506215008,San Antonio,Bgy
0506215009,San Bartolome,Bgy
0506215010,San Eugenio,Bgy
0506215011,San Isidro,Bgy
0506215012,San Rafael,Bgy
0506215013,San Roque,Bgy
0506215014,San Sebastian,Bgy
0506216000,Sorsogon City ,City
0506216001,Abuyog,Bgy
0506216002,Almendras-Cogon ,Bgy
0506216003,Balogo (Sorsogon East District),Bgy
0506216004,Barayong,Bgy
0506216005,Basud,Bgy
0506216006,Bibincahan,Bgy
0506216008,Bitan-o/Dalipay ,Bgy
0506216009,Bucalbucalan,Bgy
0506216010,Buenavista (Sorsogon West District),Bgy
0506216011,Buhatan,Bgy
0506216012,Bulabog,Bgy
0506216013,Burabod ,Bgy
0506216014,Cabid-An,Bgy
0506216015,Cambulaga,Bgy
0506216016,Capuy,Bgy
0506216017,Gimaloto,Bgy
0506216018,Guinlajon,Bgy
0506216019,Macabog,Bgy
0506216020,Marinas,Bgy
0506216021,Pamurayan,Bgy
0506216022,Pangpang,Bgy
0506216023,Panlayaan,Bgy
0506216024,Peñafrancia,Bgy
0506216025,Piot ,Bgy
0506216026,Polvorista ,Bgy
0506216027,Rizal,Bgy
0506216028,Salog ,Bgy
0506216029,Salvacion (Sorsogon West District),Bgy
0506216030,Sampaloc ,Bgy
0506216031,San Isidro (Sorsogon West District),Bgy
0506216032,San Juan (Roro),Bgy
0506216033,Sirangan ,Bgy
0506216034,Sulucan ,Bgy
0506216035,Talisay ,Bgy
0506216036,Ticol,Bgy
0506216037,Tugos,Bgy
0506216038,Balete,Bgy
0506216039,Balogo (Bacon District),Bgy
0506216040,Bato,Bgy
0506216041,Bon-Ot,Bgy
0506216042,Bogña,Bgy
0506216043,Buenavista (Bacon District),Bgy
0506216044,Cabarbuhan,Bgy
